GEOID,name,population,groupQuarters_population,pop_below_fpl,pop_above_fpl
41051002901,"Census Tract 29.01, Multnomah County, Oregon",4339,3,291,4043
41051002902,"Census Tract 29.02, Multnomah County, Oregon",5257,0,584,4655
41051002903,"Census Tract 29.03, Multnomah County, Oregon",5779,266,1133,4372
41051003000,"Census Tract 30, Multnomah County, Oregon",4936,23,315,4621
41051003100,"Census Tract 31, Multnomah County, Oregon",4980,43,508,4461
41051003200,"Census Tract 32, Multnomah County, Oregon",3979,0,455,3524
41051003301,"Census Tract 33.01, Multnomah County, Oregon",3375,37,657,2718
41051003302,"Census Tract 33.02, Multnomah County, Oregon",3012,0,489,2511
41051003401,"Census Tract 34.01, Multnomah County, Oregon",3690,16,892,2798
41051003402,"Census Tract 34.02, Multnomah County, Oregon",3708,18,587,3121
41051003501,"Census Tract 35.01, Multnomah County, Oregon",3642,40,540,3081
41051003502,"Census Tract 35.02, Multnomah County, Oregon",2285,27,337,1948
41051003601,"Census Tract 36.01, Multnomah County, Oregon",4730,21,762,3903
41051003602,"Census Tract 36.02, Multnomah County, Oregon",6971,502,708,5725
41051003603,"Census Tract 36.03, Multnomah County, Oregon",1593,38,64,1491
41051003701,"Census Tract 37.01, Multnomah County, Oregon",4042,159,682,3213
41051003702,"Census Tract 37.02, Multnomah County, Oregon",2733,6,481,2243
41051003801,"Census Tract 38.01, Multnomah County, Oregon",2944,0,439,2505
41051003802,"Census Tract 38.02, Multnomah County, Oregon",3475,0,174,3265
41051003803,"Census Tract 38.03, Multnomah County, Oregon",4362,10,847,3508
41051003901,"Census Tract 39.01, Multnomah County, Oregon",7677,6,1900,5777
41051003902,"Census Tract 39.02, Multnomah County, Oregon",3382,32,232,3134
41051004001,"Census Tract 40.01, Multnomah County, Oregon",8333,55,3435,4870
41051004002,"Census Tract 40.02, Multnomah County, Oregon",6387,1854,1121,3392
41051004101,"Census Tract 41.01, Multnomah County, Oregon",7338,35,1243,6051
41051004102,"Census Tract 41.02, Multnomah County, Oregon",5175,0,881,4281
41051004200,"Census Tract 42, Multnomah County, Oregon",3438,9,571,2867
41051004300,"Census Tract 43, Multnomah County, Oregon",1062,0,73,989
41051004500,"Census Tract 45, Multnomah County, Oregon",2148,0,166,1957
41051004601,"Census Tract 46.01, Multnomah County, Oregon",3195,0,101,3094
41051004602,"Census Tract 46.02, Multnomah County, Oregon",2046,36,123,1923
41051004700,"Census Tract 47, Multnomah County, Oregon",4782,36,317,4439
41051004800,"Census Tract 48, Multnomah County, Oregon",2959,11,604,2344
41051004900,"Census Tract 49, Multnomah County, Oregon",3534,97,874,2590
41051005000,"Census Tract 50, Multnomah County, Oregon",2929,0,179,2740
41051005100,"Census Tract 51, Multnomah County, Oregon",7444,591,1539,5804
41051005200,"Census Tract 52, Multnomah County, Oregon",4505,243,1135,3370
41051005500,"Census Tract 55, Multnomah County, Oregon",2759,0,1044,1715
41051005600,"Census Tract 56, Multnomah County, Oregon",5509,1541,1427,2541
41051005700,"Census Tract 57, Multnomah County, Oregon",4072,0,593,3479
41051005800,"Census Tract 58, Multnomah County, Oregon",5004,36,742,4246
41051005900,"Census Tract 59, Multnomah County, Oregon",7728,0,852,6789
41051006001,"Census Tract 60.01, Multnomah County, Oregon",1498,5,130,1363
41051006002,"Census Tract 60.02, Multnomah County, Oregon",2325,0,176,2149
41051006100,"Census Tract 61, Multnomah County, Oregon",2215,19,158,2057
41051006200,"Census Tract 62, Multnomah County, Oregon",3250,25,231,3001
41051006300,"Census Tract 63, Multnomah County, Oregon",5164,1195,363,3594
41051006402,"Census Tract 64.02, Multnomah County, Oregon",5687,42,178,5495
41051006403,"Census Tract 64.03, Multnomah County, Oregon",3974,10,641,3333
41051006404,"Census Tract 64.04, Multnomah County, Oregon",3412,0,199,3167
41051006501,"Census Tract 65.01, Multnomah County, Oregon",6139,6,440,5699
41051006502,"Census Tract 65.02, Multnomah County, Oregon",4445,23,465,3980
41051006601,"Census Tract 66.01, Multnomah County, Oregon",2500,92,128,2247
41051006602,"Census Tract 66.02, Multnomah County, Oregon",5534,0,860,4674
41051006701,"Census Tract 67.01, Multnomah County, Oregon",3424,143,180,3101
41051006702,"Census Tract 67.02, Multnomah County, Oregon",3259,96,449,2714
41051006801,"Census Tract 68.01, Multnomah County, Oregon",2495,24,257,2227
41051006802,"Census Tract 68.02, Multnomah County, Oregon",3402,18,224,3178
41051006900,"Census Tract 69, Multnomah County, Oregon",2913,5,105,2808
41051007000,"Census Tract 70, Multnomah County, Oregon",8427,0,497,7930
41051007100,"Census Tract 71, Multnomah County, Oregon",2543,71,126,2417
41051007201,"Census Tract 72.01, Multnomah County, Oregon",1991,0,227,1764
41051007202,"Census Tract 72.02, Multnomah County, Oregon",3216,0,182,3034
41051007300,"Census Tract 73, Multnomah County, Oregon",1506,922,204,524
41051007400,"Census Tract 74, Multnomah County, Oregon",3995,29,1773,2205
41051007500,"Census Tract 75, Multnomah County, Oregon",5571,174,1264,4201
41051007600,"Census Tract 76, Multnomah County, Oregon",3458,16,1128,2330
41051007700,"Census Tract 77, Multnomah County, Oregon",2316,14,370,1937
41051007800,"Census Tract 78, Multnomah County, Oregon",1958,0,350,1604
41051007900,"Census Tract 79, Multnomah County, Oregon",4331,78,698,3622
41051008001,"Census Tract 80.01, Multnomah County, Oregon",3228,17,502,2656
41051008002,"Census Tract 80.02, Multnomah County, Oregon",3194,78,325,2815
41051008100,"Census Tract 81, Multnomah County, Oregon",7544,319,1770,5568
41051008201,"Census Tract 82.01, Multnomah County, Oregon",3032,79,404,2574
41051008202,"Census Tract 82.02, Multnomah County, Oregon",9312,107,2902,6372
41051008301,"Census Tract 83.01, Multnomah County, Oregon",4431,21,1461,2933
41051008302,"Census Tract 83.02, Multnomah County, Oregon",4487,176,1132,3207
41051008400,"Census Tract 84, Multnomah County, Oregon",4595,78,1201,3384
41051008500,"Census Tract 85, Multnomah County, Oregon",4457,208,1133,3203
41051008600,"Census Tract 86, Multnomah County, Oregon",4150,65,879,3258
41051008700,"Census Tract 87, Multnomah County, Oregon",4829,64,693,4122
41051008800,"Census Tract 88, Multnomah County, Oregon",4503,47,657,3846
41051008901,"Census Tract 89.01, Multnomah County, Oregon",9385,234,1496,7758
41051008902,"Census Tract 89.02, Multnomah County, Oregon",3797,107,777,2963
41051009000,"Census Tract 90, Multnomah County, Oregon",10809,247,3154,7505
41051009101,"Census Tract 91.01, Multnomah County, Oregon",5690,99,2515,3126
41051009102,"Census Tract 91.02, Multnomah County, Oregon",6580,92,1452,5119
41051009201,"Census Tract 92.01, Multnomah County, Oregon",8268,230,1703,6428
41051009202,"Census Tract 92.02, Multnomah County, Oregon",5131,101,952,4125
41051009301,"Census Tract 93.01, Multnomah County, Oregon",6846,148,1406,5368
41051009302,"Census Tract 93.02, Multnomah County, Oregon",4609,195,910,3564
41051009400,"Census Tract 94, Multnomah County, Oregon",7269,270,858,6286
41051009501,"Census Tract 95.01, Multnomah County, Oregon",4976,20,1062,3891
41051009502,"Census Tract 95.02, Multnomah County, Oregon",4065,69,879,3154
41051009603,"Census Tract 96.03, Multnomah County, Oregon",3683,65,489,3171
41051009604,"Census Tract 96.04, Multnomah County, Oregon",5386,32,1990,3363
41051009605,"Census Tract 96.05, Multnomah County, Oregon",5341,130,1235,4052
41051009606,"Census Tract 96.06, Multnomah County, Oregon",5685,57,1748,3873
41051009701,"Census Tract 97.01, Multnomah County, Oregon",5857,100,1726,4101
41051009702,"Census Tract 97.02, Multnomah County, Oregon",8583,138,2765,5807
41051009801,"Census Tract 98.01, Multnomah County, Oregon",4787,211,1833,2762
41051009803,"Census Tract 98.03, Multnomah County, Oregon",7957,330,1919,5848
41051009804,"Census Tract 98.04, Multnomah County, Oregon",3314,62,935,2374
41051009903,"Census Tract 99.03, Multnomah County, Oregon",6270,70,94,6116
41051009904,"Census Tract 99.04, Multnomah County, Oregon",3953,26,1021,2916
41051009905,"Census Tract 99.05, Multnomah County, Oregon",3261,0,265,2870
41051009906,"Census Tract 99.06, Multnomah County, Oregon",3233,31,137,3096
41051009907,"Census Tract 99.07, Multnomah County, Oregon",4927,68,503,4352
41051010001,"Census Tract 100.01, Multnomah County, Oregon",5315,101,1405,3862
41051010002,"Census Tract 100.02, Multnomah County, Oregon",5708,56,925,4709
41051010100,"Census Tract 101, Multnomah County, Oregon",9090,58,1588,7440
41051010200,"Census Tract 102, Multnomah County, Oregon",6213,24,1040,5173
41051010303,"Census Tract 103.03, Multnomah County, Oregon",5521,15,793,4645
41051010304,"Census Tract 103.04, Multnomah County, Oregon",4456,103,1410,3046
41051010305,"Census Tract 103.05, Multnomah County, Oregon",4316,22,624,3660
41051010306,"Census Tract 103.06, Multnomah County, Oregon",4998,0,1016,3851
41051010402,"Census Tract 104.02, Multnomah County, Oregon",6566,62,271,6257
41051010405,"Census Tract 104.05, Multnomah County, Oregon",6017,12,748,5195
41051010407,"Census Tract 104.07, Multnomah County, Oregon",5744,189,1045,4549
41051010408,"Census Tract 104.08, Multnomah County, Oregon",6098,73,918,5110
41051010409,"Census Tract 104.09, Multnomah County, Oregon",8511,0,645,7734
41051010410,"Census Tract 104.10, Multnomah County, Oregon",4764,63,1284,3452
41051010411,"Census Tract 104.11, Multnomah County, Oregon",3098,77,629,2459
41051010500,"Census Tract 105, Multnomah County, Oregon",3886,178,333,3534
41051010600,"Census Tract 106, Multnomah County, Oregon",2932,621,1125,1337
41051980000,"Census Tract 9800, Multnomah County, Oregon",0,0,0,0
41053005100,"Census Tract 51, Polk County, Oregon",2420,24,833,1587
41053005201,"Census Tract 52.01, Polk County, Oregon",8805,8,483,8294
41053005202,"Census Tract 52.02, Polk County, Oregon",10313,45,721,9489
41053005300,"Census Tract 53, Polk County, Oregon",9371,38,989,8285
41053020202,"Census Tract 202.02, Polk County, Oregon",6053,65,1353,4668
41053020203,"Census Tract 202.03, Polk County, Oregon",3065,137,825,2079
41053020204,"Census Tract 202.04, Polk County, Oregon",5092,44,506,4577
41053020302,"Census Tract 203.02, Polk County, Oregon",9539,74,1774,7727
41053020303,"Census Tract 203.03, Polk County, Oregon",4656,1096,1375,2211
41053020304,"Census Tract 203.04, Polk County, Oregon",6835,116,1945,4812
41053020400,"Census Tract 204, Polk County, Oregon",6060,12,934,5084
41053020500,"Census Tract 205, Polk County, Oregon",6261,160,178,6040
41055950100,"Census Tract 9501, Sherman County, Oregon",1705,12,301,1401
41057960100,"Census Tract 9601, Tillamook County, Oregon",3228,55,277,2900
41057960200,"Census Tract 9602, Tillamook County, Oregon",2335,12,438,1871
41057960300,"Census Tract 9603, Tillamook County, Oregon",2788,15,203,2585
41057960400,"Census Tract 9604, Tillamook County, Oregon",7838,632,1178,6072
41057960500,"Census Tract 9605, Tillamook County, Oregon",2206,0,719,1483
41057960600,"Census Tract 9606, Tillamook County, Oregon",2376,5,293,2083
41057960700,"Census Tract 9607, Tillamook County, Oregon",2524,5,276,2243
41057960800,"Census Tract 9608, Tillamook County, Oregon",2257,0,437,1820
41057990100,"Census Tract 9901, Tillamook County, Oregon",0,0,0,0
41059940000,"Census Tract 9400, Umatilla County, Oregon",2782,42,570,2200
41059950100,"Census Tract 9501, Umatilla County, Oregon",3945,35,304,3589
41059950200,"Census Tract 9502, Umatilla County, Oregon",7747,75,2252,5460
41059950300,"Census Tract 9503, Umatilla County, Oregon",2865,10,467,2378
41059950400,"Census Tract 9504, Umatilla County, Oregon",6239,1737,595,3936
41059950500,"Census Tract 9505, Umatilla County, Oregon",4558,120,622,3851
41059950600,"Census Tract 9506, Umatilla County, Oregon",6164,122,1043,5064
41059950700,"Census Tract 9507, Umatilla County, Oregon",2326,21,289,2020
41059950800,"Census Tract 9508, Umatilla County, Oregon",8176,2430,1103,4676
41059950900,"Census Tract 9509, Umatilla County, Oregon",4010,5,493,3457
41059951000,"Census Tract 9510, Umatilla County, Oregon",6155,62,1606,4494
41059951100,"Census Tract 9511, Umatilla County, Oregon",5910,150,617,5116
41059951200,"Census Tract 9512, Umatilla County, Oregon",9471,15,1984,7463
41059951300,"Census Tract 9513, Umatilla County, Oregon",4082,0,683,3380
41059951400,"Census Tract 9514, Umatilla County, Oregon",2152,45,290,1823
41061970100,"Census Tract 9701, Union County, Oregon",2928,0,388,2518
41061970200,"Census Tract 9702, Union County, Oregon",3360,34,725,2612
41061970300,"Census Tract 9703, Union County, Oregon",2497,80,221,2271
41061970400,"Census Tract 9704, Union County, Oregon",2836,39,435,2376
41061970500,"Census Tract 9705, Union County, Oregon",3414,53,510,2844
41061970600,"Census Tract 9706, Union County, Oregon",3921,165,572,3171
41061970700,"Census Tract 9707, Union County, Oregon",3100,406,904,1785
41061970800,"Census Tract 9708, Union County, Oregon",3702,35,900,2780
41063960100,"Census Tract 9601, Wallowa County, Oregon",1806,36,315,1460
41063960200,"Census Tract 9602, Wallowa County, Oregon",1867,34,345,1491
41063960300,"Census Tract 9603, Wallowa County, Oregon",3163,62,320,2802
41065970100,"Census Tract 9701, Wasco County, Oregon",4208,286,494,3556
41065970200,"Census Tract 9702, Wasco County, Oregon",2870,0,381,2484
41065970300,"Census Tract 9703, Wasco County, Oregon",3031,78,288,2724
41065970400,"Census Tract 9704, Wasco County, Oregon",3243,264,424,2566
41065970500,"Census Tract 9705, Wasco County, Oregon",3418,0,678,2740
41065970600,"Census Tract 9706, Wasco County, Oregon",2640,93,425,2215
41065970700,"Census Tract 9707, Wasco County, Oregon",1683,265,246,1437
41065970800,"Census Tract 9708, Wasco County, Oregon",4564,201,715,3800
41067030101,"Census Tract 301.01, Washington County, Oregon",7977,61,511,7422
41067030102,"Census Tract 301.02, Washington County, Oregon",6392,0,405,5987
41067030200,"Census Tract 302, Washington County, Oregon",6689,122,348,6269
41067030300,"Census Tract 303, Washington County, Oregon",4607,39,214,4393
41067030401,"Census Tract 304.01, Washington County, Oregon",4669,20,579,4090
41067030402,"Census Tract 304.02, Washington County, Oregon",4809,144,343,4327
41067030501,"Census Tract 305.01, Washington County, Oregon",4991,286,700,4178
41067030502,"Census Tract 305.02, Washington County, Oregon",4067,54,417,3630
41067030600,"Census Tract 306, Washington County, Oregon",5623,16,336,5223
41067030700,"Census Tract 307, Washington County, Oregon",1420,8,319,1101
41067030801,"Census Tract 308.01, Washington County, Oregon",6626,97,744,5802
41067030803,"Census Tract 308.03, Washington County, Oregon",4932,29,652,4275
41067030805,"Census Tract 308.05, Washington County, Oregon",3582,0,182,3400
41067030806,"Census Tract 308.06, Washington County, Oregon",2772,0,496,2276
41067030900,"Census Tract 309, Washington County, Oregon",5218,120,1463,3712
41067031003,"Census Tract 310.03, Washington County, Oregon",7713,39,1171,6517
41067031004,"Census Tract 310.04, Washington County, Oregon",7202,45,317,6866
41067031005,"Census Tract 310.05, Washington County, Oregon",5348,113,1224,3991
41067031006,"Census Tract 310.06, Washington County, Oregon",6579,0,1314,5223
41067031100,"Census Tract 311, Washington County, Oregon",2601,22,346,2246
41067031200,"Census Tract 312, Washington County, Oregon",8093,122,1632,6343
41067031300,"Census Tract 313, Washington County, Oregon",7532,58,1496,6014
41067031402,"Census Tract 314.02, Washington County, Oregon",3083,4,680,2386
41067031403,"Census Tract 314.03, Washington County, Oregon",4965,9,699,4266
41067031404,"Census Tract 314.04, Washington County, Oregon",4949,23,645,4295
41067031504,"Census Tract 315.04, Washington County, Oregon",6314,7,352,5962
41067031506,"Census Tract 315.06, Washington County, Oregon",3876,11,412,3464
41067031507,"Census Tract 315.07, Washington County, Oregon",5732,10,384,5348
41067031508,"Census Tract 315.08, Washington County, Oregon",7913,14,630,7283
41067031509,"Census Tract 315.09, Washington County, Oregon",4008,0,193,3815
41067031511,"Census Tract 315.11, Washington County, Oregon",3102,9,149,2935
41067031512,"Census Tract 315.12, Washington County, Oregon",7802,8,191,7611
41067031513,"Census Tract 315.13, Washington County, Oregon",12542,5,235,12307
41067031514,"Census Tract 315.14, Washington County, Oregon",6685,0,248,6437
41067031606,"Census Tract 316.06, Washington County, Oregon",7066,103,1221,5804
41067031609,"Census Tract 316.09, Washington County, Oregon",10525,8,1667,8851
41067031610,"Census Tract 316.10, Washington County, Oregon",8308,88,1391,6875
41067031611,"Census Tract 316.11, Washington County, Oregon",7673,19,403,7270
41067031612,"Census Tract 316.12, Washington County, Oregon",3944,24,642,3274
41067031613,"Census Tract 316.13, Washington County, Oregon",7235,93,1367,5796
41067031614,"Census Tract 316.14, Washington County, Oregon",5509,31,254,5255
41067031615,"Census Tract 316.15, Washington County, Oregon",5430,67,1215,4177
41067031616,"Census Tract 316.16, Washington County, Oregon",3426,0,237,3144
41067031617,"Census Tract 316.17, Washington County, Oregon",4829,0,215,4602
41067031703,"Census Tract 317.03, Washington County, Oregon",5255,48,798,4404
41067031704,"Census Tract 317.04, Washington County, Oregon",9071,88,762,8271
41067031705,"Census Tract 317.05, Washington County, Oregon",5425,40,1147,4265
41067031706,"Census Tract 317.06, Washington County, Oregon",5697,5,1405,4292
41067031804,"Census Tract 318.04, Washington County, Oregon",6128,6,640,5488
41067031805,"Census Tract 318.05, Washington County, Oregon",7392,40,319,7060
41067031806,"Census Tract 318.06, Washington County, Oregon",5843,63,544,5283
41067031807,"Census Tract 318.07, Washington County, Oregon",3621,55,307,3276
41067031812,"Census Tract 318.12, Washington County, Oregon",5678,0,593,5085
41067031813,"Census Tract 318.13, Washington County, Oregon",5808,0,509,5299
41067031814,"Census Tract 318.14, Washington County, Oregon",3943,58,164,3758
41067031815,"Census Tract 318.15, Washington County, Oregon",7025,6,376,6649
41067031904,"Census Tract 319.04, Washington County, Oregon",3116,40,294,2822
41067031907,"Census Tract 319.07, Washington County, Oregon",6386,82,658,5546
41067031908,"Census Tract 319.08, Washington County, Oregon",7494,18,410,7084
41067031909,"Census Tract 319.09, Washington County, Oregon",5134,0,108,4994
41067031910,"Census Tract 319.10, Washington County, Oregon",8973,45,525,8441
41067031911,"Census Tract 319.11, Washington County, Oregon",5278,15,684,4594
41067031912,"Census Tract 319.12, Washington County, Oregon",4631,25,544,4013
41067032001,"Census Tract 320.01, Washington County, Oregon",4943,71,486,4410
41067032003,"Census Tract 320.03, Washington County, Oregon",3901,0,471,3420
41067032004,"Census Tract 320.04, Washington County, Oregon",2169,13,195,1971
41067032005,"Census Tract 320.05, Washington County, Oregon",4425,0,1587,2832
41067032103,"Census Tract 321.03, Washington County, Oregon",10903,0,642,10192
41067032104,"Census Tract 321.04, Washington County, Oregon",4796,7,123,4639
41067032107,"Census Tract 321.07, Washington County, Oregon",2248,13,61,2187
41067032108,"Census Tract 321.08, Washington County, Oregon",4234,15,282,3941
41067032109,"Census Tract 321.09, Washington County, Oregon",3177,0,93,3072
41067032110,"Census Tract 321.10, Washington County, Oregon",3711,1392,194,2109
41067032200,"Census Tract 322, Washington County, Oregon",7644,19,297,7314
41067032300,"Census Tract 323, Washington County, Oregon",5787,17,841,4938
41067032404,"Census Tract 324.04, Washington County, Oregon",6718,54,498,6193
41067032406,"Census Tract 324.06, Washington County, Oregon",8578,64,872,7648
41067032407,"Census Tract 324.07, Washington County, Oregon",5832,16,227,5594
41067032408,"Census Tract 324.08, Washington County, Oregon",7326,18,596,6729
41067032409,"Census Tract 324.09, Washington County, Oregon",5566,43,2624,2942
41067032410,"Census Tract 324.10, Washington County, Oregon",4499,27,414,4058
41067032501,"Census Tract 325.01, Washington County, Oregon",3648,835,873,2079
41067032502,"Census Tract 325.02, Washington County, Oregon",2881,5,267,2589
41067032503,"Census Tract 325.03, Washington County, Oregon",3923,12,598,3313
41067032603,"Census Tract 326.03, Washington County, Oregon",7138,17,915,6223
41067032604,"Census Tract 326.04, Washington County, Oregon",6393,70,1146,5247
41067032606,"Census Tract 326.06, Washington County, Oregon",7034,110,778,6179
41067032607,"Census Tract 326.07, Washington County, Oregon",4041,26,224,3817
41067032608,"Census Tract 326.08, Washington County, Oregon",2435,0,151,2280
41067032609,"Census Tract 326.09, Washington County, Oregon",2435,0,26,2389
41067032610,"Census Tract 326.10, Washington County, Oregon",3403,58,454,2924
41067032700,"Census Tract 327, Washington County, Oregon",4807,33,334,4456
41067032800,"Census Tract 328, Washington County, Oregon",1208,4,181,1022
41067032901,"Census Tract 329.01, Washington County, Oregon",6138,51,831,5240
41067032902,"Census Tract 329.02, Washington County, Oregon",7700,126,454,7212
41067033000,"Census Tract 330, Washington County, Oregon",5473,112,476,4974
41067033101,"Census Tract 331.01, Washington County, Oregon",3079,41,488,2532
41067033102,"Census Tract 331.02, Washington County, Oregon",3255,130,361,2719
41067033200,"Census Tract 332, Washington County, Oregon",7026,1034,1637,4506
41067033301,"Census Tract 333.01, Washington County, Oregon",5702,20,803,4899
41067033302,"Census Tract 333.02, Washington County, Oregon",5266,8,307,4924
41067033400,"Census Tract 334, Washington County, Oregon",2285,23,142,2143
41067033500,"Census Tract 335, Washington County, Oregon",3968,0,212,3738
41067033600,"Census Tract 336, Washington County, Oregon",2137,0,230,1902
41069960100,"Census Tract 9601, Wheeler County, Oregon",1369,21,272,1073
41071030101,"Census Tract 301.01, Yamhill County, Oregon",6025,106,341,5684
41071030102,"Census Tract 301.02, Yamhill County, Oregon",7071,9,553,6518
41071030201,"Census Tract 302.01, Yamhill County, Oregon",6758,1470,1286,4043
41071030202,"Census Tract 302.02, Yamhill County, Oregon",6436,72,2163,4231
41071030301,"Census Tract 303.01, Yamhill County, Oregon",10044,56,1265,8736
41071030302,"Census Tract 303.02, Yamhill County, Oregon",2047,0,138,1909
41071030400,"Census Tract 304, Yamhill County, Oregon",8038,39,348,7597
41071030501,"Census Tract 305.01, Yamhill County, Oregon",6308,1749,507,4063
41071030502,"Census Tract 305.02, Yamhill County, Oregon",4782,86,716,3970
41071030601,"Census Tract 306.01, Yamhill County, Oregon",3548,29,539,2968
41071030602,"Census Tract 306.02, Yamhill County, Oregon",6445,112,866,5476
41071030701,"Census Tract 307.01, Yamhill County, Oregon",7725,47,1505,6196
41071030702,"Census Tract 307.02, Yamhill County, Oregon",7782,92,1618,6086
41071030801,"Census Tract 308.01, Yamhill County, Oregon",5090,222,1011,3864
41071030802,"Census Tract 308.02, Yamhill County, Oregon",5221,1169,1179,2884
41071030900,"Census Tract 309, Yamhill County, Oregon",4796,32,521,4275
41071031000,"Census Tract 310, Yamhill County, Oregon",4101,41,699,3353
