GEOID,name,population,groupQuarters_population,pop_below_fpl,pop_above_fpl
41031960201,"Census Tract 9602.01, Jefferson County, Oregon",3247,0,808,2439
41031960202,"Census Tract 9602.02, Jefferson County, Oregon",5029,95,976,3963
41031960301,"Census Tract 9603.01, Jefferson County, Oregon",3318,0,442,2876
41031960302,"Census Tract 9603.02, Jefferson County, Oregon",4636,12,663,3939
41033360100,"Census Tract 3601, Josephine County, Oregon",2235,20,538,1697
41033360300,"Census Tract 3603, Josephine County, Oregon",5382,23,608,4760
41033360400,"Census Tract 3604, Josephine County, Oregon",4286,5,564,3701
41033360500,"Census Tract 3605, Josephine County, Oregon",6114,470,1798,3965
41033360600,"Census Tract 3606, Josephine County, Oregon",6603,322,864,5455
41033360701,"Census Tract 3607.01, Josephine County, Oregon",4325,49,1277,3017
41033360702,"Census Tract 3607.02, Josephine County, Oregon",5515,28,966,4526
41033360800,"Census Tract 3608, Josephine County, Oregon",4750,12,674,4031
41033360900,"Census Tract 3609, Josephine County, Oregon",2293,0,313,1980
41033361000,"Census Tract 3610, Josephine County, Oregon",4724,52,674,4043
41033361100,"Census Tract 3611, Josephine County, Oregon",9373,53,1819,7554
41033361200,"Census Tract 3612, Josephine County, Oregon",7163,108,1258,5878
41033361300,"Census Tract 3613, Josephine County, Oregon",7547,29,1196,6340
41033361400,"Census Tract 3614, Josephine County, Oregon",2610,0,664,1914
41033361500,"Census Tract 3615, Josephine County, Oregon",2528,13,582,1941
41033361600,"Census Tract 3616, Josephine County, Oregon",8615,10,2382,6100
41035970100,"Census Tract 9701, Klamath County, Oregon",3163,129,471,2692
41035970200,"Census Tract 9702, Klamath County, Oregon",4668,18,1189,3477
41035970300,"Census Tract 9703, Klamath County, Oregon",3101,0,488,2593
41035970400,"Census Tract 9704, Klamath County, Oregon",1469,15,136,1318
41035970500,"Census Tract 9705, Klamath County, Oregon",1461,0,289,1172
41035970600,"Census Tract 9706, Klamath County, Oregon",1712,16,260,1445
41035970700,"Census Tract 9707, Klamath County, Oregon",2028,6,298,1730
41035970800,"Census Tract 9708, Klamath County, Oregon",2326,13,333,1993
41035970900,"Census Tract 9709, Klamath County, Oregon",3969,19,571,3398
41035971000,"Census Tract 9710, Klamath County, Oregon",2532,19,273,2242
41035971100,"Census Tract 9711, Klamath County, Oregon",5292,167,551,4570
41035971200,"Census Tract 9712, Klamath County, Oregon",2487,13,799,1671
41035971300,"Census Tract 9713, Klamath County, Oregon",5508,34,620,4810
41035971400,"Census Tract 9714, Klamath County, Oregon",5176,55,578,4496
41035971500,"Census Tract 9715, Klamath County, Oregon",4136,42,912,3204
41035971600,"Census Tract 9716, Klamath County, Oregon",3552,30,1048,2504
41035971700,"Census Tract 9717, Klamath County, Oregon",3059,6,1043,2016
41035971800,"Census Tract 9718, Klamath County, Oregon",2464,68,696,1744
41035971900,"Census Tract 9719, Klamath County, Oregon",3714,48,1090,2612
41035972000,"Census Tract 9720, Klamath County, Oregon",4129,387,472,3270
41037960100,"Census Tract 9601, Lake County, Oregon",2492,12,331,2142
41037960200,"Census Tract 9602, Lake County, Oregon",5307,531,949,3841
41039000100,"Census Tract 1, Lane County, Oregon",5183,22,608,4575
41039000200,"Census Tract 2, Lane County, Oregon",5289,22,562,4679
41039000300,"Census Tract 3, Lane County, Oregon",2251,0,224,2027
41039000402,"Census Tract 4.02, Lane County, Oregon",3510,0,330,3173
41039000403,"Census Tract 4.03, Lane County, Oregon",4983,69,680,4259
41039000404,"Census Tract 4.04, Lane County, Oregon",3659,50,542,2966
41039000500,"Census Tract 5, Lane County, Oregon",1913,0,401,1500
41039000702,"Census Tract 7.02, Lane County, Oregon",2794,40,534,2226
41039000705,"Census Tract 7.05, Lane County, Oregon",3810,14,612,3190
41039000706,"Census Tract 7.06, Lane County, Oregon",2209,0,373,1836
41039000707,"Census Tract 7.07, Lane County, Oregon",3881,60,654,3188
41039000708,"Census Tract 7.08, Lane County, Oregon",2e3,0,339,1601
41039000800,"Census Tract 8, Lane County, Oregon",1564,0,160,1372
41039000902,"Census Tract 9.02, Lane County, Oregon",4697,13,685,4001
41039000903,"Census Tract 9.03, Lane County, Oregon",5388,14,1162,4164
41039000904,"Census Tract 9.04, Lane County, Oregon",2862,26,635,2218
41039001001,"Census Tract 10.01, Lane County, Oregon",2363,0,331,2032
41039001002,"Census Tract 10.02, Lane County, Oregon",4091,7,596,3450
